cvemodeloeducativo,cveplanestudio,cvemodulo,grado,cvetrayecto,cvetipomodulo,consecutivoorden,estado,creditos,descripcion,descorta,siglema
2023,EKIN23,MCEB20,6,AEB,TT,16,A,10,Manejo de circuitos eléctricos básicos,Manejo de circuitos eléctricos básicos,MCEB
2023,EKIN23,VEBS20,6,OPV,TT,17,A,10,Venta de bienes y servicios,Venta de bienes y servicios,VEBS
2023,EKIN23,OBNN20,6,APN,TT,18,A,10,Obtención de nanomateriales,Obtención de nanomateriales,OBNN
2023,EKIN23,AUIN20,6,OPOL,TT,19,A,10,Automatización industrial,Automatización industrial,AUIN
2023,EKIN23,CRFO20,6,CRF,TT,20,A,10,Construcción de una red de fibra óptica,Construcción de una red de fibra óptica,CRFO
"2023,EKIN23,MGEI20,6,KAIZ,TT,21,A,10,""Manejo de gestión de equipos, inventarios, costos y control laboral"",""Manejo de gestión de equipos, inventarios, costos y control laboral"",MGEI"
2023,ELIN23,CCVE00,1,XXX,CF,1,A,11.25,Comunicación para la comprensión y valoración del entorno,Comunicación para la comprensión y valoración del entorno,CCVE
2023,ELIN23,INII00,1,XXX,CF,2,A,9,Interacción inicial en inglés,Interacción inicial en inglés,INII
2023,ELIN23,PEMA00,1,XXX,CF,3,A,11.25,Pensamiento matemático I,Pensamiento matemático I,PEMA
2023,ELIN23,ATDI00,1,XXX,CF,4,A,11.25,Aplicación de tecnologías digitales,Aplicación de tecnologías digitales,ATDI
2023,ELIN23,IDME00,1,XXX,CF,5,A,9,Identificación de materia y energía en el entorno,Identificación de materia y energía en el entorno,IDME
2023,ELIN23,IMCH00,1,XXX,CF,6,A,15.75,Identificación de sí mismo en el contexto humanístico ,Identificación de sí mismo en el contexto humanístico ,IMCH
2023,ELIN23,ITSO00,1,XXX,CF,7,A,6.75,Interacción social I,Interacción social I,ITSO
2023,ELIN23,FOSO00,1,XXX,CA,8,A,4.5,Formación socioemocional I,Formación socioemocional I,FOSO
2023,ELIN23,CPAT00,2,XXX,CF,1,A,6.75,Comunicación para la argumentación de textos orales y escritos,Comunicación para la argumentación de textos orales y escritos,CPAT
2023,ELIN23,INAI00,2,XXX,CF,2,A,6.75,Interacción activa en inglés,Interacción activa en inglés,INAI
2023,ELIN23,PMO200,2,XXX,CF,3,A,9,Pensamiento matemático II,Pensamiento matemático II,PMO2
2023,ELIN23,IEDE00,2,XXX,CF,4,A,9,Interacción de la energía y dinámica en los ecosistemas,Interacción de la energía y dinámica en los ecosistemas,IEDE
2023,ELIN23,ECCH00,2,XXX,CF,5,A,4.5,Experiencias de la colectividad en mi construcción humana,Experiencias de la colectividad en mi construcción humana,ECCH
2023,ELIN23,ISII00,2,XXX,CF,6,A,4.5,Interacción social II,Interacción social II,ISII
2023,ELIN23,FSO200,2,XXX,CA,7,A,4.5,Formación socioemocional II,Formación socioemocional II,FSO2
2023,ELIN23,DEPD03,2,XXX,CL,8,A,10,Desarrollo de planos y diagramas,Desarrollo de planos y diagramas,DEPD
2023,ELIN23,MECE03,2,XXX,CL,9,A,10,Manejo de circuitos eléctricos,Manejo de circuitos eléctricos,MECE
2023,ELIN23,EJIE03,2,XXX,CL,10,A,10,Ejecución de instalaciones eléctricas residenciales,Ejecución de instalaciones eléctricas residenciales,EJIE
2023,ELIN23,ITII20,3,XXX,CF,1,A,6.75,Interacción independiente en inglés,Interacción independiente en inglés,ITII
2023,ELIN23,PMO320,3,XXX,CF,2,A,9,Pensamiento matemático III,Pensamiento matemático III,PMO3
2023,ELIN23,AFNS20,3,XXX,CF,3,A,4.5,Análisis en la formación de nuevas sustancias,Análisis en la formación de nuevas sustancias,AFNS
2023,ELIN23,FSO320,3,XXX,CA,4,A,4.5,Formación socioemocional III,Formación socioemocional III,FSO3
2023,ELIN23,UIME20,3,XXX,CL,5,A,6,Uso de instrumentos de medición de magnitudes eléctricas,Uso de instrumentos de medición de magnitudes eléctricas,UIME
2023,ELIN23,OCEA20,3,XXX,CL,6,A,10,Operación de circuitos electrónicos analógicos,Operación de circuitos electrónicos analógicos,OCEA
2023,ELIN23,RIEC20,3,XXX,CL,7,A,12,Realización de instalaciones eléctricas comerciales y de alumbrado,Realización de instalaciones eléctricas comerciales y de alumbrado,RIEC
2023,ELIN23,IOGE20,3,XXX,CL,8,A,12,Instalación y operación de generadores y motores eléctricos,Instalación y operación de generadores y motores eléctricos,IOGE
2023,ELIN23,PMAN20,3,XXX,CL,9,A,8,Preparación del mantenimiento,Preparación del mantenimiento,PMAN
2023,ELIN23,INPI20,4,XXX,CF,1,A,6.75,Interacción productiva en inglés,Interacción productiva en inglés,INPI
2023,ELIN23,CHMS20,4,XXX,CF,2,A,4.5,Conciencia histórica I: de Mesoamérica al siglo XVIII,Conciencia histórica I: de Mesoamérica al siglo XVIII,CHMS
2023,ELIN23,APEV20,4,XXX,CF,3,A,9,Aplicación de la energía en la vida diaria,Aplicación de la energía en la vida diaria,APEV
2023,ELIN23,TSO120,4,XXX,FE,4,A,9,Temas selectos de Matemáticas I*,Temas selectos de Matemáticas I*,TSO1
2023,ELIN23,FSO420,4,XXX,CA,5,A,4.5,Formación socioemocional IV,Formación socioemocional IV,FSO4
2023,ELIN23,ASEP20,4,XXX,CL,6,A,10,Aplicación de sistemas electrónicos de potencia,Aplicación de sistemas electrónicos de potencia,ASEP
2023,ELIN23,OCIM20,4,XXX,CL,7,A,10,Operación de circuitos de control de máquinas eléctricas,Operación de circuitos de control de máquinas eléctricas,OCIM
2023,ELIN23,MECT20,4,XXX,CL,8,A,10,Mantenimiento de máquinas eléctricas,Mantenimiento de máquinas eléctricas,MECT
2023,ELIN23,OPCI20,4,ASC,TT,9,A,10,Operación de circuitos electrónicos digitales,Operación de circuitos electrónicos digitales,OPCI
2023,ELIN23,MEME20,4,MSE,TT,10,A,10,Montaje y mantenimiento de plantas eléctricas de emergencia,Montaje y mantenimiento de plantas eléctricas de emergencia,MEME
2023,ELIN23,TVEN20,4,OPV,TT,11,A,10,Manejo de técnicas de venta,Manejo de técnicas de venta,TVEN
2023,ELIN23,UTMA20,4,APN,TT,12,A,10,Utilización de materiales,Utilización de materiales,UTMA
2023,ELIN23,MVMS20,4,MEC,TT,13,A,10,Mantenimiento de sistemas de aire acondicionado tipo ventana y mini-split,Mantenimiento de sistemas de aire acondicionado tipo ventana,MVMS
2023,ELIN23,CRCP20,4,CRF,TT,14,A,10,Construcción de un segmento de red de cobre principal,Construcción de un segmento de red de cobre principal,CRCP
2023,ELIN23,ADIE20,4,OPEN,TT,15,A,10,Adiestramiento en la industria energética,Adiestramiento en la industria energética,ADIE
2023,ELIN23,IETV20,4,IMT,TT,16,A,10,Instalación de equipos de transporte vertical,Instalación de equipos de transporte vertical,IETV
2023,ELIN23,GTEN20,4,MTP,TT,17,A,10,Gestión del diseño de iluminación y tramoya,Gestión del diseño de iluminación y tramoya,GTEN
2023,ELIN23,INEI20,5,XXX,CF,1,A,6.75,Interacción especializada en inglés*,Interacción especializada en inglés*,INEI
2023,ELIN23,TSO220,5,XXX,CF,2,A,9,Temas selectos de Matemáticas II*,Temas selectos de Matemáticas II*,TSO2
2023,ELIN23,COHS20,5,XXX,CF,3,A,6.75,Conciencia histórica II: Siglos XIX y XX,Conciencia histórica II: Siglos XIX y XX,COHS
2023,ELIN23,DOBP20,5,XXX,CF,4,A,6.75,Descripción de organismos biológicos y procesos evolutivos,Descripción de organismos biológicos y procesos evolutivos,DOBP
2023,ELIN23,FSO520,5,XXX,CA,5,A,4.5,Formación socioemocional V,Formación socioemocional V,FSO5
2023,ELIN23,MADC20,5,XXX,CL,6,A,10,Mantenimiento de dispositivos de control,Mantenimiento de dispositivos de control,MADC
2023,ELIN23,OPMA20,5,XXX,CL,7,A,10,Operación y mantenimiento de transformadores,Operación y mantenimiento de transformadores,OPMA
2023,ELIN23,ANCO20,5,XXX,CL,8,A,10,Análisis de costos,Análisis de costos,ANCO
2023,ELIN23,MASC20,5,ASC,TT,9,A,10,Manipulación de sistemas de control lógico,Manipulación de sistemas de control lógico,MASC
2023,ELIN23,IMSI20,5,MSE,TT,10,A,10,Instalación y mantenimiento de sistemas ininterruptibles de energía,Instalación y mantenimiento de sistemas ininterruptibles de energía,IMSI
2023,ELIN23,ATSC20,5,OPV,TT,11,A,10,Atención y servicio a clientes,Atención y servicio a clientes,ATSC
2023,ELIN23,CMMM20,5,APN,TT,12,A,10,Caracterización y manejo de macro y micro materiales,Caracterización y manejo de macro y micro materiales,CMMM
2023,ELIN23,SAUT20,5,MEC,TT,13,A,10,Mantenimiento de sistemas de aire acondicionado tipo automotriz,Mantenimiento de sistemas de aire acondicionado tipo automotriz,SAUT
2023,ELIN23,CRCS20,5,CRF,TT,14,A,10,Construcción de un segmento de red de cobre secundaria,Construcción de un segmento de red de cobre secundaria,CRCS
2023,ELIN23,OMSM20,5,OPEN,TT,15,A,10,Operación y mantenimiento a componentes y sistemas mecánicos,Operación y mantenimiento a componentes y sistemas mecánicos,OMSM
2023,ELIN23,MPEE20,5,IMT,TT,16,A,10,Mantenimiento de elevadores y escaleras eléctricas,Mantenimiento de elevadores y escaleras eléctricas,MPEE
2023,ELIN23,AESC20,5,MTP,TT,17,A,10,Armado de estructuras para soporte de luminaria y cámara,Armado de estructuras para soporte de luminaria y cámara,AESC
2023,ELIN23,CHPC20,6,XXX,CF,1,A,4.5,Conciencia histórica III: Problemas contemporáneos,Conciencia histórica III: Problemas contemporáneos,CHPC
2023,ELIN23,TSO320,6,XXX,FE,2,A,11.25,Temas selectos de Matemáticas III*,Temas selectos de Matemáticas III*,TSO3
2023,ELIN23,FSO620,6,XXX,CA,3,A,4.5,Formación socioemocional VI,Formación socioemocional VI,FSO6
2023,ELIN23,FEMP20,6,XXX,CL,4,A,4,Emprendimiento e innovación,Emprendimiento e innovación,FEMP
2023,ELIN23,ARUC20,6,XXX,CL,5,A,8,Administración de recursos,Administración de recursos,ARUC
2023,ELIN23,MELI20,6,XXX,CL,6,A,10,Mantenimiento de sistemas eléctricos industriales,Mantenimiento de sistemas eléctricos industriales,MELI
